"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"2010016I18Rik",0,0,0,0.805196813890195,0,1.05895620969413,0,3.30773119000046
"A630023P12Rik",2.67055174466659,0,0,1.99622118950051,0,1.66304727616028,1.94753258010587,3.9301055771651
"AI839979",3.62407228800711,5.45877381922605,3.44638727081257,5.85302743498386,7.56106109761186,4.7257659666062,1.94753258010587,0.672173496803554
"Adgre1",3.39791885874805,2.75074777180255,3.44638727081257,6.39162409715506,5.9489157173668,3.18993161311906,1.94753258010587,0.672173496803554
"Alox15",0,0,0,0.805196813890195,0,3.35178389072735,1.94753258010587,0
"Blk",6.97300632192306,1.95059140673861,5.34354854557542,3.99527493832709,0,3.9658968198644,4.73953953783003,3.81315317539954
"Bmx",2.79971507737335,4.58030446784311,3.44638727081257,4.18506059689252,5.09377866262286,6.02063539495234,1.94753258010587,1.75441175771039
"Btla",7.00684583520506,1.95059140673861,5.34354854557542,5.39595832783033,4.83916898116688,4.0626089598257,5.01919356523331,5.3905835979831
"C1rl",1.75924605271053,6.06398991629681,3.44638727081257,4.29899577630077,5.9489157173668,5.71321800478139,0,0.672173496803554
"Ccl22",0,0,0,0,0,0,0,0
"Ccl4",3.22469491319242,7.57070387506318,7.1252983745908,4.12453091040256,4.83916898116688,4.69592386010756,7.87826991766875,3.30773119000046
"Ccl5",7.11630210901195,5.45877381922605,7.22414498590243,7.76647196214653,4.52978644096093,6.5655384282732,13.3992588481804,10.385961583196
"Ccr3",0,1.95059140673861,0,2.45530878860708,0,2.41513518658909,0,1.75441175771039
"Ccr7",8.49175033661305,1.95059140673861,5.91661853258584,6.25712001782291,0,5.88174202744809,6.88438859711367,9.2269409666086
"Cd163l1",1.13264648763895,0,3.44638727081257,0,0,0,1.94753258010587,2.5230034574214
"Cd177",3.81953170150828,10.405461522507,4.94030632786083,6.51465066978121,5.8137457654895,9.37044419274581,1.94753258010587,3.39170572251906
